Dataset,Control Unit,Method,Pre RMSPE,Post RMSPE,Post/pre RMSPE ratio,W,Constant
smoking_data,Alabama,SC,3.965645381323964,5.9566664959000555,1.5020673618354077,"[[3.80254888e-01]
 [4.16547243e-03]
 [3.22592581e-02]
 [3.72505322e-03]
 [9.99623459e-04]
 [5.05332003e-06]
 [4.26945119e-04]
 [6.56401337e-07]
 [5.98417614e-06]
 [1.27655621e-03]
 [0.00000000e+00]
 [3.99708653e-03]
 [4.62227289e-06]
 [2.56903669e-03]
 [1.65662985e-01]
 [1.08409368e-05]
 [3.66451008e-05]
 [1.40448243e-05]
 [1.51169526e-05]
 [4.56096561e-04]
 [3.18580900e-03]
 [2.06000727e-04]
 [4.04338266e-03]
 [9.65732727e-06]
 [2.08637042e-03]
 [1.33702379e-05]
 [2.22271916e-03]
 [6.45198909e-03]
 [0.00000000e+00]
 [0.00000000e+00]
 [6.99893427e-03]
 [1.40024840e-01]
 [2.28168758e-03]
 [2.58282312e-03]
 [2.28377854e-01]
 [4.53733958e-03]
 [1.14312368e-03]]",
smoking_data,Alabama,DSC,4.279073911788421,6.283651449688446,1.4684606013412422,"[[3.36032746e-01]
 [9.77258361e-04]
 [4.38895591e-02]
 [8.63646418e-04]
 [3.49221638e-04]
 [4.06950609e-04]
 [7.29699587e-04]
 [1.04805296e-03]
 [4.26489665e-04]
 [4.63012926e-04]
 [3.57868204e-03]
 [1.41295764e-04]
 [1.99832288e-04]
 [8.05630901e-04]
 [2.05920994e-01]
 [6.30609437e-04]
 [3.47025655e-04]
 [4.26866526e-04]
 [1.53381699e-03]
 [8.75595481e-04]
 [3.68083539e-04]
 [3.09933404e-03]
 [2.47229920e-04]
 [5.08512270e-04]
 [1.48310152e-04]
 [6.81613290e-04]
 [6.01661651e-04]
 [1.49509466e-03]
 [1.63264849e-04]
 [2.15157516e-04]
 [9.98450657e-04]
 [1.88486050e-01]
 [3.13311023e-04]
 [1.94779976e-03]
 [1.98794586e-01]
 [1.19007809e-03]
 [1.09451715e-03]]",2.1500894592018462
smoking_data,Arkansas,SC,7.120045523511728,8.945272618562973,1.2563504810501565,"[[1.19369305e-01]
 [4.47106214e-05]
 [1.54241045e-02]
 [3.55412730e-05]
 [1.69339464e-05]
 [3.25308625e-02]
 [0.00000000e+00]
 [3.02972830e-05]
 [7.09164507e-03]
 [3.12935189e-05]
 [1.68570232e-02]
 [8.39996311e-06]
 [2.13542536e-02]
 [3.70878186e-03]
 [4.43599194e-01]
 [3.16017828e-03]
 [6.08341159e-03]
 [3.39027648e-03]
 [8.59068928e-03]
 [3.64980517e-05]
 [1.60054122e-02]
 [2.03901887e-05]
 [1.91693106e-05]
 [0.00000000e+00]
 [9.19436674e-03]
 [1.55744704e-02]
 [2.53282375e-05]
 [1.26001167e-01]
 [1.31722687e-03]
 [9.51015957e-03]
 [2.61518190e-05]
 [1.36182549e-02]
 [1.66156396e-05]
 [5.05854284e-05]
 [1.24852277e-01]
 [2.43005324e-03]
 [4.21930959e-05]]",
smoking_data,Arkansas,DSC,6.750811940861783,8.004310869885815,1.1856812099055474,"[[1.43931722e-01]
 [2.94351459e-14]
 [2.80998508e-14]
 [2.49075687e-14]
 [9.67046940e-15]
 [6.85543784e-15]
 [2.90763997e-14]
 [1.94160687e-14]
 [1.52261716e-14]
 [2.08227312e-14]
 [1.16169787e-02]
 [4.78707825e-02]
 [5.64631901e-15]
 [1.76350940e-14]
 [3.22750311e-01]
 [1.82862147e-14]
 [9.83403023e-15]
 [1.58096171e-14]
 [2.89675095e-14]
 [2.46244070e-14]
 [6.45828883e-02]
 [9.26796049e-15]
 [1.14536674e-14]
 [2.01416950e-14]
 [9.76444458e-15]
 [1.91331152e-14]
 [1.81642715e-14]
 [1.20482750e-01]
 [1.66696370e-02]
 [4.53428843e-02]
 [1.37677306e-14]
 [9.15870558e-02]
 [9.94940070e-15]
 [3.22604402e-14]
 [1.35164991e-01]
 [1.51775863e-14]
 [2.79500091e-14]]",5.615073288988327
smoking_data,Colorado,SC,7.369286554333179,11.764764077906895,1.5964590318433407,"[[0.00000000e+00]
 [3.19058948e-06]
 [4.13729419e-02]
 [1.41197353e-01]
 [0.00000000e+00]
 [5.91824889e-06]
 [4.56378958e-02]
 [0.00000000e+00]
 [0.00000000e+00]
 [2.54973451e-02]
 [0.00000000e+00]
 [2.84777139e-03]
 [0.00000000e+00]
 [3.74484657e-02]
 [0.00000000e+00]
 [0.00000000e+00]
 [0.00000000e+00]
 [0.00000000e+00]
 [0.00000000e+00]
 [0.00000000e+00]
 [0.00000000e+00]
 [7.30619135e-03]
 [8.25654451e-02]
 [0.00000000e+00]
 [0.00000000e+00]
 [0.00000000e+00]
 [6.08048583e-02]
 [4.92422656e-02]
 [0.00000000e+00]
 [0.00000000e+00]
 [6.42386849e-02]
 [1.12467293e-01]
 [0.00000000e+00]
 [2.09411211e-01]
 [1.72667231e-06]
 [1.53212611e-02]
 [1.04752556e-01]]",
smoking_data,Colorado,DSC,5.421088766457122,6.380664071122126,1.1770078569091798,"[[0.00000000e+00]
 [1.62602923e-04]
 [6.38965546e-03]
 [5.50948322e-02]
 [1.76495508e-02]
 [4.35001066e-04]
 [4.40567781e-03]
 [1.11125921e-03]
 [1.15685945e-03]
 [2.89299025e-03]
 [6.03283314e-08]
 [6.38578558e-02]
 [0.00000000e+00]
 [3.87093469e-03]
 [1.25936615e-02]
 [1.66687118e-03]
 [7.61750423e-03]
 [6.96003993e-04]
 [2.48204732e-02]
 [7.33631068e-02]
 [6.21527920e-02]
 [4.48731698e-02]
 [7.03614124e-02]
 [1.66310408e-03]
 [1.35577182e-03]
 [2.41890674e-03]
 [3.45429419e-02]
 [1.18829879e-01]
 [1.88057081e-06]
 [2.11022866e-06]
 [7.57978966e-02]
 [6.88007856e-02]
 [5.38830990e-02]
 [6.24665228e-02]
 [2.51575298e-05]
 [7.43120791e-02]
 [5.10421488e-02]]",-10.919961242422568
smoking_data,Connecticut,SC,5.849831306609175,5.618941181397689,0.9605304643655921,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [1.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",
smoking_data,Connecticut,DSC,5.0317792105532595,4.519762010793752,0.8982433095065772,"[[6.86745913e-17]
 [8.34488491e-17]
 [0.00000000e+00]
 [6.26645006e-18]
 [1.50304901e-17]
 [3.07466387e-17]
 [4.84770325e-01]
 [0.00000000e+00]
 [2.76397173e-17]
 [0.00000000e+00]
 [0.00000000e+00]
 [8.20169859e-17]
 [6.52012652e-17]
 [1.57482978e-01]
 [1.22197004e-16]
 [0.00000000e+00]
 [7.21404719e-17]
 [2.89759172e-17]
 [5.14441106e-17]
 [3.84692444e-17]
 [1.18361091e-16]
 [0.00000000e+00]
 [3.55349373e-17]
 [0.00000000e+00]
 [6.82574232e-18]
 [2.42227105e-17]
 [2.59387374e-17]
 [1.19618831e-17]
 [4.68237095e-17]
 [3.85149520e-17]
 [8.75091926e-17]
 [3.57746698e-01]
 [6.07116270e-17]
 [0.00000000e+00]
 [8.49497122e-17]
 [1.00938232e-16]
 [0.00000000e+00]]",8.705028565428718
smoking_data,Delaware,SC,11.348321633568471,31.870393280674023,2.8083794511428914,"[[0.00609197]
 [0.00632729]
 [0.0940659 ]
 [0.22136111]
 [0.0035262 ]
 [0.00414549]
 [0.14006205]
 [0.00491339]
 [0.00135865]
 [0.01548305]
 [0.00869719]
 [0.00540266]
 [0.00363031]
 [0.03299746]
 [0.01047008]
 [0.00154691]
 [0.00419595]
 [0.00142332]
 [0.16536772]
 [0.06827412]
 [0.0064067 ]
 [0.00754045]
 [0.00286968]
 [0.00348927]
 [0.00289481]
 [0.02930665]
 [0.01070791]
 [0.0099686 ]
 [0.00467699]
 [0.00496104]
 [0.00177483]
 [0.00539853]
 [0.00387344]
 [0.03899827]
 [0.0056623 ]
 [0.00134342]
 [0.0607869 ]]",
smoking_data,Delaware,DSC,6.738532906929219,11.512911307360028,1.7085189708758899,"[[1.78220747e-02]
 [8.12277370e-03]
 [6.31185837e-05]
 [1.20379781e-01]
 [6.61827029e-03]
 [2.49681139e-02]
 [3.74123326e-03]
 [2.19645626e-03]
 [2.85081475e-03]
 [3.27722101e-05]
 [6.47105649e-03]
 [8.27064384e-02]
 [6.51330335e-03]
 [1.05575127e-01]
 [3.44737547e-02]
 [1.04836095e-02]
 [5.79183211e-03]
 [3.00325930e-03]
 [9.29952210e-03]
 [7.36091804e-03]
 [2.68047341e-02]
 [8.27800224e-05]
 [5.39656698e-02]
 [4.42702179e-03]
 [2.85003239e-03]
 [8.87548755e-03]
 [3.99169400e-02]
 [5.33655797e-02]
 [3.08584140e-05]
 [2.00634316e-03]
 [1.21314708e-01]
 [1.30857904e-01]
 [6.02267114e-03]
 [6.11566781e-05]
 [6.81940764e-03]
 [8.40708097e-02]
 [5.67427378e-05]]",36.2902704805448
